service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
14H1-HD14H101-Lun_à_Ven-03-ROSE,1,1,1,1,1,0,0,20131107,20140704
14H1-HD14H106-Samedi-01-VERT,0,0,0,0,0,1,0,20131109,20140705
14H1-HD14H107-Dimanche-00-BLEU,0,0,0,0,0,0,1,20131110,20140706
14V1-HD14V101-Lun_à_Ven-00-JAUNE,1,1,1,1,1,0,0,20131223,20140711
14H1-HA14H101-Lun_à_Ven-03-ROSE,1,1,1,1,1,0,0,20131107,20140704
14H1-HA14H101-Lun_à_Ven-03-ROSE-0010000,0,0,1,0,0,0,0,20131107,20140704
14H1-HA14H101-Lun_à_Ven-03-ROSE-1101100,1,1,0,1,1,0,0,20131107,20140704
14H1-HA14H106-Samedi-03-VERT,0,0,0,0,0,1,0,20131109,20140705
14H1-HA14H107-Dimanche-01-BLEU,0,0,0,0,0,0,1,20131110,20140706
14V1-HA14V101-Lun_à_Ven-02-JAUNE,1,1,1,1,1,0,0,20131223,20140711
14H1-HS14H1A1-Lun_à_Ven-02-ROSE,1,1,1,1,1,0,0,20131107,20131220
14H1-HS14H1A6-Samedi-02-VERT,0,0,0,0,0,1,0,20131109,20140104
14H1-HS14H1A7-Dimanche-01-BLEU,0,0,0,0,0,0,1,20131110,20140105
14V1-HS14V1A1-Lun_à_Ven-01-JAUNE,1,1,1,1,1,0,0,20131223,20140103
14H1-HS14H101-Lun_à_Ven-01-ROSE,1,1,1,1,1,0,0,20140106,20140704
14H1-HS14H106-Samedi-01-VERT,0,0,0,0,0,1,0,20140111,20140705
14H1-HS14H107-Dimanche-01-BLEU,0,0,0,0,0,0,1,20140112,20140706
14V1-HS14V101-Lun_à_Ven-01-JAUNE,1,1,1,1,1,0,0,20140303,20140711
14H1-HT14H101-Lun_à_Ven-03-ROSE,1,1,1,1,1,0,0,20131107,20140704
14H1-HT14H101-Lun_à_Ven-03-ROSE-0000100,0,0,0,0,1,0,0,20131107,20140704
14H1-HT14H101-Lun_à_Ven-03-ROSE-1101100,1,1,0,1,1,0,0,20131107,20140704
14H1-HT14H101-Lun_à_Ven-03-ROSE-0010000,0,0,1,0,0,0,0,20131107,20140704
14H1-HT14H106-Samedi-02-VERT,0,0,0,0,0,1,0,20131109,20140705
14H1-HT14H107-Dimanche-01-BLEU,0,0,0,0,0,0,1,20131110,20140706
14V1-HT14V101-Lun_à_Ven-00-JAUNE,1,1,1,1,1,0,0,20131223,20140711
