route_id,service_id,trip_id,trip_headsign,direction_id,	block_id,shape_id
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254631-14H1-HA14H101-Lun_à_Ven-03-ROSE,"La Herdrie",0,927504,274155
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254632-14H1-HA14H101-Lun_à_Ven-03-ROSE,"La Herdrie",0,927506,274155
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254633-14H1-HA14H101-Lun_à_Ven-03-ROSE,"Pirmil",1,927506,274158
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254634-14H1-HA14H101-Lun_à_Ven-03-ROSE,"Pirmil",1,927504,274158
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254635-14H1-HA14H101-Lun_à_Ven-03-ROSE,"Pirmil",1,927501,274158
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254636-14H1-HA14H101-Lun_à_Ven-03-ROSE,"La Herdrie",0,927505,274155
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254637-14H1-HA14H101-Lun_à_Ven-03-ROSE,"La Herdrie",0,927501,274155
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254638-14H1-HA14H101-Lun_à_Ven-03-ROSE,"La Herdrie",0,927504,274155
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254639-14H1-HA14H101-Lun_à_Ven-03-ROSE,"La Herdrie",0,927505,274155
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254640-14H1-HA14H101-Lun_à_Ven-03-ROSE,"La Herdrie",0,927503,274155
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254641-14H1-HA14H101-Lun_à_Ven-03-ROSE,"Pirmil",1,927503,274158
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254642-14H1-HA14H101-Lun_à_Ven-03-ROSE,"Pirmil",1,927505,274158
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254643-14H1-HA14H101-Lun_à_Ven-03-ROSE,"Pirmil",1,927505,274158
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254644-14H1-HA14H101-Lun_à_Ven-03-ROSE,"Pirmil",1,927503,274158
27-0,14H1-HA14H101-Lun_à_Ven-03-ROSE,7254645-14H1-HA14H101-Lun_à_Ven-03-ROSE,"Pirmil",1,927501,274158
